Group,IRS_video_ROS_start_time,IRS_ELAN_start_time,ELAN_video_01_end_time,part2_start_time,Audio File Offset (Audio - IRS),IRS File Offset (Audio - IRS)
AM,1560787942.84,35.50,33:24.5,18:00.9,2.9,
AO,1560960276.55,-53.70,32:31.8,17:55,2.6,
AQ,1561133560.21,10.45,33:25.0,18:25.7,1.3,
AR,1561208348.61,756.50,33:25.0,17:05,-3.2,3.2
AT,1561297463.34,-14.40,33:10.6,17:22,1.45,
AV,1561392572.25,-33.05,32:51.95,17:47,1.4,
AX,1561641313.87,-11.30,33:13.7,17:40.5,1,
AY,1561652584.1,-23.50,33:01.5,19:59.5,-2.9,2.9
AZ,1561738868.97,-24.65,33:00.85,19:29.5,1.45,
BA,1562601576.66,-38.05,32:47.45,18:16.0,1.55,
BB,1562688740.8,-21.60,33:03.4,18:45.0,1.6,
BC,1562774775.22,-34.30,32:51.2,18:59,0.84,
BD,1562860391.71,12.40,33:25.0,28:08.5,1.6,
BE,1562946913.98,-22.25,33:02.75,28:31.0,1.55,
BF,1563023405.41,19.90,33:25.0,14:28.0,1.45,
BG,1563035178.99,14.90,33:25.5,18:34,1.25,
BH,1563112837.99,15.55,33:25.0,19:28,1.9,
BI,1563118339.42,-27.20,32:57.8,18:41.5,1.5,
BJ,1563206826.58,-15.25,33:09.75,18:29.3,-3.58,3.58
BK,1563294049.28,-6.75,33:18.25,19:36.0,-2.95,2.95
BL,1563367915.95,9.50,33:25.0,27:17.3,1.41,
BM,1563379835.0,-21.15,33:00.35,24:44.5,0.8,
BN,1563454793.92,-26.00,32:59.00,26:32.0,1.11,
BO,1563552637.01,-32.85,32:52.65,26:27.0,1.62,
BP,1564415868.67,-27.35,32:57.65,16:02.0,-4.56,4.56
BQ,1564501943.99,-23.60,33:01.9,27:51.5,0.79,
BR,1564588786.5,-19.30,33:05.7,26:53,1.1,
BS,1564674861.98,-15.55,33:09.45,26:17.1,0.9,
BT,1564761050.34,-18.05,33:06.95,25:19.5,1.08,
BU,1564837448.61,-21.50,33:03.5,22:51.4,1.32,
BV,1564848003.13,-8.05,33:17.45,24:50.7,0.56,
BW,1564926093.58,-13.10,33:11.9,26:08.8,1.44,
BX,1564931371.48,-9.42,33:00.08,24:48.8,1.19,
BY,1565020650.43,-16.02,33:08.98,22:56.5,1.83,
BZ,1565106727.77,-9.50,33:15.5,25:15.5,0.77,
CA,1565182892.5,-17.48,33:07.52,25:50.8,1.57,
CB,1565194183.08,-15.45,33:09.55,27:04.4,0.93,
CC,1565268625.18,-8.24,33:16.76,24:21.3,0.46,
CD,1565281008.26,-9.95,33:15.5,21:53.2,0.98,